SMILES,MP,MW,Structure_Cluster,MP_bin,Stratify_Label,cv_fold
OCC(C(C(CO)O)O)O,104.0,152.146,2,1,2_1,6
CN1CCc2c(C1)c1ccccc1n2Cc1ccccc1,95.0,276.383,5,1,5_1,7
O=C1N(Cc2ccccc2)C(=O)c2c1cccc2,116.0,237.258,5,2,5_2,2
CCOC(=O)c1nn(c(n1)C(Cl)(Cl)Cl)c1ccc(cc1Cl)Cl,110.0,403.48,4,2,4_2,0
CC/C(=N\O)/C1CC2(C(C1CC2)(C)C)C,93.0,209.333,0,1,0_1,9
O=C1CCCC[C@H]1P(=S)(c1ccccc1)c1ccccc1,150.0,314.39,5,2,5_2,2
c1ccc(cc1)C1N=c2c(=N1)cccc2,293.0,194.237,5,3,5_3,3
COc1ccccc1N/N=C\1/C(=NN(C1=O)CN1CCCCC1)C,149.0,329.404,4,2,4_2,8
CC(C(C(C)(C)C)C)O,27.0,130.231,0,0,0_0,4
Cc1cccc(c1)c1ccccc1,5.0,168.239,0,0,0_0,7
CCCc1ccccc1O,7.0,136.194,0,0,0_0,8
O=Cc1ccc[nH]1,43.0,95.101,0,0,0_0,8
OC(=O)c1c(F)cc(cc1F)F,141.0,176.093,2,2,2_2,8
COC(=O)c1ccccc1NC,18.0,165.192,2,0,2_0,5
O=C1c2cc(C)c(cc2C(=O)c2c1cccc2)C,210.8,236.27,5,3,5_3,8
CCOC(=O)COc1cc(Cl)c(cc1Cl)Cl,64.0,283.538,2,1,2_1,2
N#C/C(=C\c1ccccc1Cl)/c1scc(n1)c1ccc(cc1)OC,223.0,352.846,5,3,5_3,6
Brc1ccc(c(c1)C(F)(F)F)Br,49.0,303.903,0,1,0_1,7
CC(=O)Oc1ccc(cc1)C(=O)C,53.0,178.187,2,1,2_1,1
OC(=O)Cc1ccc2c(c1)cccc2,142.0,186.21,2,2,2_2,9
OB(c1ccccc1)c1ccccc1,57.5,182.031,5,1,5_1,1
CCOC(=O)C(=C(SC)SC)C#N,54.0,217.315,2,1,2_1,2
CC(Cc1c[nH]c2c1cccc2)N,99.0,174.247,0,1,0_1,0
CN([Si](N(C)C)(N(C)C)N(C)C)C,15.0,204.394,0,0,0_0,0
Fc1cc(Cl)cc(c1)C(=O)C,53.0,172.586,0,1,0_1,0
ClCC(=O)c1ccc(cc1)C(=O)CCl,153.0,231.078,2,2,2_2,1
Nc1ncnc2c1cnn2CCO,218.0,179.183,2,3,2_3,1
NC(=O)c1ccccc1C(=O)N,222.0,164.164,2,3,2_3,0
CCOC(=O)N1CCC(=C2c3ccc(cc3CCc3c2nccc3)Cl)CC1,135.0,382.891,4,2,4_2,6
NC1CCC1,-4.0,71.123,0,0,0_0,1
CCc1ccc(nc1)CCOc1ccc(cc1)CC1SC(=O)NC1=O,183.5,356.447,4,3,4_3,1
CCC1(N2CCCCC2)C(=O)NC(=O)NC1=O,215.0,239.275,4,3,4_3,0
ClC=C(Cl)Cl,-85.0,131.389,0,0,0_0,5
COC1(OC)CCC2(C(C1)CCC1C2CCC2(C1CCC2)C)C,80.0,320.517,1,1,1_1,4
CC1(C)CCC=CC1,-74.0,110.2,0,0,0_0,5
CC(NC(C(c1ccc(cc1)O)O)C)CCc1ccccc1,111.5,299.414,5,2,5_2,2
CCO,-114.0,46.069,0,0,0_0,6
Cc1ccccc1P(c1ccccc1C)Cl,57.0,248.693,5,1,5_1,7
CN(C(=O)C(C(F)(F)F)C(F)(F)F)C,54.0,223.116,2,1,2_1,1
COC(=O)c1ccccc1B(O)O,69.0,179.968,2,1,2_1,5
CC[C@@]12CCC[N@@](C2)CCc2c(CC1)[nH]c1c2cccc1,146.0,282.431,5,2,5_2,8
Nc1nccc(n1)c1ccncc1,189.0,172.191,0,3,0_3,5
O=C1CCc2c3N1CCc3ccc2,112.0,173.215,2,2,2_2,5
CCCCCCCCCCCCCCCl,4.9,232.839,3,0,3_0,5
ClCC(=C)CCl,-14.0,124.998,0,0,0_0,1
OCC(c1ccccc1)C(=O)OC1C[C@@H]2CC[C@H](C1)N2C,118.5,289.375,4,2,4_2,1
Cc1ccc2c(c1)sc(n2)N,141.0,164.233,0,2,0_2,3
Brc1cccc(c1)Br,-7.0,235.906,0,0,0_0,2
OC[C@H]1CCCN1C(=O)OC(C)(C)C,61.0,201.266,2,1,2_1,6
N#Cc1cc(F)c(cc1O)F,162.0,155.103,2,2,2_2,4
COc1ccc(cc1B(O)O)C(C)C,86.0,194.039,2,1,2_1,8
Clc1cccc2c1cc1ccccc1c2,77.0,212.679,5,1,5_1,6
CN1C(=O)[C@@]2([C@@](C1=O)(Cl)C(=C)[C@H]2c1ccccc1)Cl,134.35,296.153,4,2,4_2,5
N#Cc1ncccc1F,29.0,122.102,0,0,0_0,6
Cc1ccc2c(n1)c1nc(C)ccc1cc2,159.5,208.264,5,2,5_2,7
OB(c1cccnc1F)O,172.0,140.91,2,3,2_3,0
CCCCCCc1ccc2c(c1)cccc2,-3.0,212.336,5,0,5_0,2
CCCCCCCCCCc1cc(ccc1CCCCCCCCCC)N(C(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,37.5,588.918,3,0,3_0,1
OC(=O)c1ccc(cc1)C(F)(F)F,221.0,190.12,2,3,2_3,2
COC(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)OC,157.0,331.966,2,2,2_2,3
CCOC(=O)c1sc2c(c1N=C1SCCS1)c(c(s2)C(=O)OCC)N=C1SCCS1,198.0,518.754,4,3,4_3,9
CCC(C(=O)N)(CC=C)CC,75.0,155.241,0,1,0_1,2
O=C1C=CC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,165.0,286.415,1,2,1_2,6
CC(=C)/C=C/C(=C)C,-9.0,108.184,0,0,0_0,0
c1cccs1,-38.0,84.143,0,0,0_0,5
BrCCBr,10.0,187.862,0,0,0_0,6
O=C1NC(=O)CN(C1)C[C@@H](N1CC(=O)NC(=O)C1)C,194.0,268.273,4,3,4_3,2
CCOC(=O)c1ccccn1,2.0,151.165,0,0,0_0,3
OC(=O)C(NC(C(=O)N1C2CCCC2CC1C(=O)O)C)CCc1ccccc1,109.0,388.464,4,2,4_2,8
OCCCCCCC(C)C,64.5,144.258,0,1,0_1,2
C=CCNCC=C,-88.0,97.161,0,0,0_0,5
Cc1ccc(o1)C(=O)/C=C/c1ccc(o1)c1ccccc1,123.0,278.307,5,2,5_2,9
CNS(=O)(=O)Cc1ccc(cc1)[N+](=O)[O-],152.0,230.245,2,2,2_2,4
OC(=O)c1ccc(c(c1)O)C,210.0,152.149,2,3,2_3,7
COCCOCCOCCOC,-45.0,178.228,0,0,0_0,8
OC(c1ccccc1)CCC(=O)c1ccccc1,95.0,240.302,5,1,5_1,7
CCCCCCCC,-57.0,114.232,0,0,0_0,3
COc1ccc(cc1)CCN1CCC(CC1)Nc1nc2c(n1Cc1ccc(cc1)F)cccc2,149.0,458.581,4,2,4_2,3
O=C1CCSc2c1cc(s2)S(=O)(=O)N,222.0,249.338,2,3,2_3,9
Nc1c(N)cccc1N,103.0,123.159,0,1,0_1,7
CO/N=C(/c1ccccc1Oc1ccccc1)\C(=O)NC,88.0,284.315,5,1,5_1,5
N#Cc1ccc2c(c1)cccc2,65.0,153.184,0,1,0_1,4
O=C(c1ccccc1)OC(COC(=O)c1ccccc1)COC(=O)c1ccccc1,76.0,404.418,4,1,4_1,4
O=Cc1ccc(cc1Cl)B(O)O,212.0,184.387,2,3,2_3,5
OCc1ccc(cc1)Br,78.0,187.036,0,1,0_1,2
OC[C@H](Cc1ccccc1)N,92.0,151.209,0,1,0_1,5
Brc1ccc(nc1)[N+](=O)[O-],149.0,202.995,0,2,0_2,3
Nc1ccc(cn1)F,95.0,112.107,0,1,0_1,4
CCCCCCCCCCC(C(=O)O)Br,32.0,279.218,3,0,3_0,0
N#Cc1ccc2c(c1)c(OC(=O)C)c(c(c2OC(=O)C)OC)OC,124.5,329.308,4,2,4_2,1
Brc1cc(Br)c2c(c1)CN1CN2Cc2c1c(Br)cc(c2)Br,225.18,537.875,5,3,5_3,0
CCCc1cc(ccn1)C(=S)N,136.7,180.276,0,2,0_2,6
C[Si]([Si](C)(C)C)(C)C,12.0,146.382,0,0,0_0,2
CN(CCc1c[nH]c2c1c(ccc2)OP(=O)(O)O)C,224.0,284.252,2,3,2_3,5
O=C(Cc1ccccc1)NNC(=O)N,168.0,193.206,2,3,2_3,7
CC(=NNC(=O)N)c1cccc(c1)C(=NNC(=O)N)C,238.0,276.3,4,3,4_3,7
CC(=O)N1c2ccccc2[C@](C1=O)(O)c1coc2c1cccc2,109.85,307.305,4,2,4_2,3
O=C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],164.0,429.151,4,2,4_2,3
CCOC(=O)C1=C(C)NC(=C(C1c1ccccc1)C(=O)OCC)C,157.0,329.396,4,2,4_2,2
Fc1cccc(c1)C(=O)Cl,-30.0,158.559,0,0,0_0,7
Sc1ccccn1,127.0,111.169,0,2,0_2,0
ClC(=O)/C=C/c1ccccc1,36.0,166.607,0,0,0_0,3
Nc1ccccc1NC(C(=O)Nc1ccccc1)(c1ccccc1)c1ccccc1,160.0,393.49,5,2,5_2,8
OC(=O)/C=C/c1ccccc1F,179.0,166.151,2,3,2_3,0
Clc1ccc(cc1)c1nn2c(n1)c1ccccc1cc2,238.0,279.73,5,3,5_3,4
Cc1cc(C)c(c(c1C)O)C,118.5,150.221,0,2,0_2,0
O=C1OC(C)(C)OC(=O)C21Cc1c(C2)cccc1,158.0,246.262,2,2,2_2,7
COc1c(Cl)c(Cl)c(c(c1Cl)Cl)O,116.0,261.919,2,2,2_2,8
CCc1cccc2c1cccc2,-13.9,156.228,0,0,0_0,4
CCCCCCCCCCCCI,-3.0,296.236,3,0,3_0,7
COC(=O)c1ccc(c(c1)OC)OC,59.0,196.202,2,1,2_1,0
CCOC(C(=O)c1ccccc1)c1ccccc1,62.0,240.302,5,1,5_1,3
O=Cc1c(F)cccc1Cl,37.0,158.559,0,0,0_0,5
CCc1ccc(cc1)OCC(=O)O,93.0,180.203,2,1,2_1,9
O=C1NN=C(C1(Br)Br)C,131.0,255.897,0,2,0_2,4
[O-][N+](=O)c1ccc(nc1C)Cl,56.0,172.571,0,1,0_1,5
ClC(=O)/C=C/c1ccccc1Cl,38.0,201.052,0,0,0_0,7
COc1ccc(cc1O)/C=C/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],191.0,316.269,4,3,4_3,1
CN(c1ccc(cc1)Cc1ccc(cc1)N(C)C)C,87.0,254.377,5,1,5_1,7
Clc1cncc(n1)Cl,54.0,148.98,0,1,0_1,1
CCCCCCN(C(=O)C(C(F)(F)F)C(F)(F)F)CCCCCC,201.0,363.386,4,3,4_3,1
OC(=O)c1ccc2c(n1)c(O)ccc2,219.0,189.17,2,3,2_3,8
[O-][N+](=O)c1cc(C)c(cc1N)Cl,161.0,186.598,2,2,2_2,4
CNCCCN,-72.0,88.154,0,0,0_0,1
COC(=O)c1sccc1N,65.0,157.194,2,1,2_1,1
O=Cc1cc(n(c1C)c1ccc(cc1)C(F)(F)F)C,86.0,267.25,2,1,2_1,0
OC(=O)CCc1ccc(cc1)Cl,119.0,184.622,2,2,2_2,5
Brc1cnc(nc1)N,233.0,174.001,0,3,0_3,9
OC(=O)c1cccc(c1C)N,187.0,151.165,2,3,2_3,0
c1ccc(cc1)c1ccc(cc1)c1ccccc1,213.0,230.31,5,3,5_3,1
COC(=O)c1cncc(c1)Br,97.0,216.034,2,1,2_1,5
CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,130.0,195.215,2,2,2_2,0
CNC(=O)O/N=C/C(S(=O)(=O)C)(C)C,141.0,222.266,2,2,2_2,7
CCOC(=O)Nc1c(cc(cc1[N+](=O)[O-])Cl)[N+](=O)[O-],167.0,289.631,2,3,2_3,5
c1ccc2c(c1)nncn2,75.8,131.138,0,1,0_1,5
BrC(c1ccccc1)CC12CCC(C2(C)C)(C(=O)O1)C,206.0,337.257,5,3,5_3,4
OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,203.0,342.297,4,3,4_3,7
CCCCC(n1nc2c(n1)cccc2)C(=O)N,101.5,232.287,2,1,2_1,9
O=NN(CC(c1ccccc1)c1ccccc1)CC(c1ccccc1)c1ccccc1,179.0,406.529,5,3,5_3,4
N#Cc1c(Br)cncc1Br,150.0,261.904,0,2,0_2,3
CN(CCC(c1ccccc1Cl)(c1ccccc1)O)C,120.0,289.806,5,2,5_2,7
Cc1cc(C)c(c(c1)I)N,65.0,247.079,0,1,0_1,0
N#Cc1ccc(cc1)F,36.0,121.114,0,0,0_0,8
COc1cccc(c1C(=O)O)F,91.0,170.139,2,1,2_1,5
N#CCc1nn(c2c1c(N)ncn2)C,137.0,188.194,2,2,2_2,7
CCCCCCCCCCCCCCCCOC(=O)C,-18.5,284.484,3,0,3_0,1
Brc1ccc(cn1)C(=O)O,184.0,202.007,2,3,2_3,4
CCOP(=O)(ON1C(=O)c2cccc3c2c(C1=O)ccc3)OCC,177.0,349.279,4,3,4_3,9
CCN1C(=O)c2c(C1=O)cccc2,76.0,175.187,2,1,2_1,7
Cc1cc(cc(c1)C)O[Si]12OCCN(CCO1)CCO2,219.5,295.411,4,3,4_3,8
CC(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)C,125.0,516.857,4,2,4_2,3
OC(C(c1ccccc1)(c1ccccc1)O)(c1ccccc1)c1ccccc1,177.0,366.46,5,3,5_3,0
O=C(C(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,34.0,280.749,0,0,0_0,0
Brc1ccc(cc1C(F)(F)F)S(=O)(=O)N,187.0,304.087,2,3,2_3,9
CC1CCC(C1(C)C)(C)C(=O)NNc1ccccc1,92.0,260.381,5,1,5_1,1
N#Cc1ccccc1C#N,140.0,128.134,0,2,0_2,5
CCOc1ccc(cc1)Cl,21.0,156.612,0,0,0_0,3
OB(C=CCC(C)C)O,101.0,127.98,0,1,0_1,4
OC(C(C(=O)O)O)C(C(C(=O)O)O)O,125.5,210.138,2,2,2_2,7
CC(SSSSC(C)(C)C)(C)C,2.3,242.5,0,0,0_0,6
Brc1cc(N)c2c(c1)cc[nH]2,105.0,211.062,0,1,0_1,3
OC1C2OP(=O)(O)OCC2OC1n1cnc2c1ncnc2N,219.5,329.209,4,3,4_3,4
COc1ncc(c(n1)OC)I,73.0,266.038,0,1,0_1,0
O=C(/C(=N/NC(=O)N)/C)Nc1ccccc1,237.0,220.232,2,3,2_3,9
Brc1cccc(c1)NC(=O)c1cnc(c(n1)Cl)C(C)(C)C,105.0,368.662,5,1,5_1,7
ClN(S(=O)(=O)c1ccc(cc1)C)Cl,83.0,240.111,2,1,2_1,2
CCOC1OC(=O)c2c1cccc2OC,67.0,208.213,2,1,2_1,1
CC/C=N/O,40.0,73.095,0,0,0_0,4
Cc1cc(C)nc(n1)O,203.0,124.143,0,3,0_3,3
CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CCCl,42.0,355.7,4,0,4_0,7
[O-][N+](=O)c1ccc(c(c1)Cl)I,99.0,283.452,2,1,2_1,7
CC(CC(O)(C)C)OC(C(Cl)(Cl)Cl)O,103.0,265.564,2,1,2_1,8
N#CC(C#N)(C)C,31.5,94.117,0,0,0_0,1
COC(=O)CCc1cc2CCC(=O)Nc2cc1NC(=O)C,245.0,290.319,4,3,4_3,8
O=C1C(=C(C(C)C)C(=O)C2=C1[C@@]1(C)CCCC([C@@H]1CC2)(C)C)O,181.0,316.441,1,3,1_3,0
OC(=O)c1c(F)cccc1F,158.0,158.103,2,2,2_2,6
Brc1ccc(cc1)S(=O)(=O)C,102.0,235.102,2,1,2_1,7
Clc1ccc(c(c1)C(F)(F)F)N,9.0,195.571,2,0,2_0,8
OCCCN(C)C,-35.0,103.165,0,0,0_0,4
OC(=O)c1ccc(c(c1F)Cl)F,176.0,192.548,2,3,2_3,6
Cc1ccc(c(n1)Cl)C#N,116.0,152.584,0,2,0_2,9
O/N=C/c1ccccc1,35.0,121.139,0,0,0_0,8
OC1CN2CCC1CC2,221.0,127.187,0,3,0_3,1
OC(=O)c1ccnc(c1)C(=O)O,249.0,167.12,2,3,2_3,9
Clc1cc(Cl)nc(n1)c1ccccc1,96.9,225.078,5,1,5_1,0
OCC12CCCC(C2CC(C23C1C(OC(=O)C)CC(C2O)C(C3=O)C)O)(C)C,120.0,394.508,1,2,1_2,1
CC(=O)C1C(Cc2c(C1=O)cccc2)c1ccccc1,67.0,264.324,5,1,5_1,4
O=Cc1cccnc1Cl,52.0,141.557,0,1,0_1,6
COC(=O)N,55.0,75.067,0,1,0_1,6
CCOC(=O)CCCCCCC(=O)OCC,5.9,230.304,2,0,2_0,0
O/N=C/C1=C(C)C=CC(C1=O)C(C)C,146.0,193.246,2,2,2_2,6
O=CNNC=O,156.0,88.066,0,2,0_2,0
COC(=O)c1ccc(c(c1)Cl)N,113.0,185.61,2,2,2_2,4
OC(=O)/C=C\C(=O)O,134.0,116.072,2,2,2_2,2
OC(=O)Cc1ccc(cc1)S,107.0,168.217,2,2,2_2,5
Cc1ccc(cc1)S(=O)c1ccc(cc1)C,95.0,230.332,5,1,5_1,1
OC1CCCCC1(C)C,8.0,128.215,0,0,0_0,5
CCCCCCCCCCCC(=O)OCCOCCO,17.5,288.428,3,0,3_0,4
COC(N(C)C)OC,-85.0,119.164,0,0,0_0,9
CCOC(=O)Nc1ccc(nc1N)NCc1ccc(cc1)F,114.0,304.325,4,2,4_2,1
CCCCCCCCCCOc1ccc(cc1)/C=N/c1ccc(cc1)/C=C/C(=O)OCC,115.0,435.608,3,2,3_2,7
BrC1=CC(=CC=C2N(Cc3ccccc3)c3c(C2(C)C)cccc3)C(=O)C(=C1)[N+](=O)[O-],208.0,477.358,4,3,4_3,1
O=C1C(=O)C(=C(c2c1cccc2)Cl)Cl,184.0,227.046,2,3,2_3,9
Nc1ccc(c2c1C(=O)c1c(Cl)ccc(c1C2=O)Cl)[N+](=O)[O-],307.0,337.118,4,3,4_3,2
COC(=O)c1ccccc1NC(=O)CCC(=O)O,124.85,251.238,2,2,2_2,7
S=C1CCCCCN1,108.5,129.228,0,2,0_2,1
COC(=O)c1ccc(c(c1)I)OC,94.0,292.072,2,1,2_1,9
CCOC(=O)C12C(c3cc(Cl)ccc3O[P@@]2(=O)OCC)C2(C1c1cc(Cl)ccc1O[P@]2(=O)OCC)C(=O)OCC,257.0,633.354,1,3,1_3,1
CCOC(=O)c1ccc2c(c1)OCO2,18.5,194.186,2,0,2_0,9
Clc1ccc(c(c1)Cl)C(Cn1cncn1)COC(C(F)F)(F)F,6.0,372.149,4,0,4_0,9
O=Cc1cccc2c1cccc2Br,105.0,235.08,5,1,5_1,8
Brc1cc(Br)c2c(c1)c(cc(=O)[nH]2)c1ccccc1,211.0,379.051,5,3,5_3,1
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc(nc1=O)N,229.0,244.207,2,3,2_3,4
Clc1ccc2c(c1)C(=O)CCO2,102.0,182.606,2,1,2_1,6
CC(OC(=O)C1=C(C)NC(=S)NC1c1cccc(c1)[N+](=O)[O-])C,225.0,335.385,4,3,4_3,0
CCOC(=O)/C(=N\Nc1cccc(c1)[N+](=O)[O-])/C#N,156.0,262.225,2,2,2_2,9
[O-][N+](=O)c1ccc(c(c1[N+](=O)[O-])[N+](=O)[O-])C,112.0,227.132,2,2,2_2,8
COC(=O)C1=C(C)NC(=S)NC1c1ccccc1,225.0,262.334,2,3,2_3,4
CC(c1cccc(c1N)C(C)C)C,-54.0,177.291,0,0,0_0,0
O=c1oc2c(cc1C)cc1c(c2C)occ1C,234.5,228.247,5,3,5_3,4
O=C=Nc1ccc(cc1)Cl,30.0,153.568,0,0,0_0,8
C[Si](C#Cc1ccc(cc1)C#C[Si](C)(C)C)(C)C,120.0,270.524,5,2,5_2,7
COc1ccc(cc1)c1ccc(cc1)S(=O)(=O)Nc1cccc(c1)C(=O)O,236.0,383.425,4,3,4_3,5
OB(CC(C)C)O,109.0,101.942,0,2,0_2,1
Nc1ncc(cc1F)C(F)(F)F,66.0,180.104,2,1,2_1,4
COc1ccc(cc1)C(=O)C1=NOC2C1C(=O)N(C2=O)c1ccc(cc1)Br,124.0,429.226,4,2,4_2,5
FC(c1cc(=O)[nH]c2n1nc(c2)c1ccc(cc1)Cl)(F)F,156.0,313.666,4,2,4_2,2
Fc1ccc(c(c1)F)N(C(=O)C)C,84.0,185.173,2,1,2_1,0
COC(=O)c1ccc(o1)N,133.0,141.126,2,2,2_2,0
Brc1cnc2c(c1)cc[nH]2,179.0,197.035,0,3,0_3,0
CCOC(=O)c1ccccc1N,15.0,165.192,2,0,2_0,3
[O-][N+](=O)c1ccccc1/C=C/c1ccccn1,214.0,226.235,5,3,5_3,7
Clc1ccc(cc1)c1nn2c(c1)nc(cc2C(F)(F)F)C,176.0,311.694,5,3,5_3,9
Clc1ccc(cc1)c1csc(n1)NC(=O)c1ccccc1,120.0,314.797,5,2,5_2,4
[O-][N+](=O)c1ccccc1C#Cc1ccccn1,55.0,224.219,5,1,5_1,2
CCC(c1ccccc1)C(=O)N,86.0,163.22,2,1,2_1,1
COc1ccc(c(c1OC)OC)B(O)O,77.0,212.01,2,1,2_1,9
ClC1=C(Cl)[C@@]2(C([C@@]1(Cl)[C@@H]1[C@H]2COS(=O)(=O)OC1)(Cl)Cl)Cl,181.0,422.928,4,3,4_3,1
NC1CC(C)(C)NC(C1)(C)C,17.0,156.273,0,0,0_0,5
CSc1ccc(cc1)C#N,62.0,149.218,0,1,0_1,1
Clc1ccc(c(c1)c1n[nH]nn1)Cl,157.0,215.043,0,2,0_2,1
O=Cc1ccc(c(c1)B(O)O)F,170.0,167.932,2,3,2_3,8
CCC(C1(CC=C)C(=O)NC(=O)NC1=O)(C)C,156.0,238.287,2,2,2_2,0
CC(c1cccc(c1O)C(C)C)C,18.0,178.275,0,0,0_0,8
CCCCCCCCCCNC(=O)C(C(F)(F)F)C(F)(F)F,66.0,335.332,2,1,2_1,2
COc1cccc(c1C=O)O,71.0,152.149,2,1,2_1,5
Clc1c(C)cc(c(c1C)Cl)O,96.0,191.057,0,1,0_1,3
CC(=O)O[C@H]1O[C@H]([C@@H]([C@@H]1OC(=O)c1ccccc1)OC(=O)c1ccccc1)COC(=O)c1ccccc1,129.0,504.491,4,2,4_2,6
COc1ccc(c(c1)Br)CC(=O)O,129.0,245.072,2,2,2_2,7
CCCCCCCCCCCCCCCCCCCCCCC,49.0,324.637,3,1,3_1,8
COc1ccc(cc1)CC#N,8.0,147.177,0,0,0_0,9
CCCCC(C(=O)OC=C)CC,-90.0,170.252,0,0,0_0,7
OC(=O)c1ccc(c(c1)Cl)Br,222.0,235.464,2,3,2_3,0
Cc1cc2ccccc2cc1CC(F)(F)F,75.0,224.225,5,1,5_1,8
CC(C[C@@H]([C@H](CC(=O)N[C@H](C(=O)N[C@H]([C@H](CC(=O)O)O)CC(C)C)C)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)C,233.0,685.904,4,3,4_3,5
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-4.0,390.564,3,0,3_0,5
OCCN(C(=O)COC(=O)c1ccccc1)C,79.0,237.255,2,1,2_1,1
CCCCC(COC(=O)C)CC,-45.0,172.268,0,0,0_0,6
C1CNC(CN1)c1ccc2c(c1)OCO2,122.0,206.245,2,2,2_2,9
Oc1ccc(c(c1)Br)O,111.5,189.008,0,2,0_2,1
OC(=O)c1cc(Cl)c(c(c1)Cl)N,291.5,206.028,2,3,2_3,4
ClCC(C)(C)C,-20.0,106.596,0,0,0_0,0
Cc1ccc(c(c1)c1ccc(cc1)[N+](=O)[O-])C,98.35,227.263,5,1,5_1,2
N#CCc1ccc(cc1)Br,47.0,196.047,0,1,0_1,0
CCOP(=O)(Oc1ccc(c(c1)C)SC)NC(C)C,49.0,303.364,2,1,2_1,8
Cc1cccc(c1)/N=N/c1ccc(cc1)N(C)C,138.5,239.322,5,2,5_2,0
Clc1cccc(c1)B(O)O,183.0,156.377,0,3,0_3,6
CC/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C,116.8,252.23,2,2,2_2,9
Cn1c2ccccc2c2c1cccc2,91.0,181.238,5,1,5_1,1
CCC[C@@H](C(=O)O)NC(=O)OC(C)(C)C,45.0,217.265,2,0,2_0,5
COC(=O)C1(O)c2cc(Cl)ccc2-c2c1cccc2,139.0,274.703,5,2,5_2,1
Oc1ccc(cc1)Nc1ccc(cc1)O,174.5,201.225,5,3,5_3,9
CCOP(=O)(SCCN(C(C)C)C(C)C)C,-51.0,267.375,2,0,2_0,7
