SMILES,MP_reported,MP_raw,Source,Source_file,Accepted_for_consensus,MP_quality,Consensus_method,Group_MP_range
BrCC=Cc1ccccc1,34.0,34,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,5.0
BrCCBr,9.8,9.8(1),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.1999999999999993
BrCCBr,9.9,9.9,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.1999999999999993
BrCCBr,9.95,9.95,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.1999999999999993
BrCCBr,10.0,10.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.1999999999999993
BrCCC(Br)CBr,-18.0,-18,2,2_EGNN_melt_point.csv,True,near_exact,median_all,1.0
BrCCC(Br)CBr,-18.0,-18.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
BrCCC(Br)CBr,-18.0,-18.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,1.0
BrCCC(Br)CBr,-17.0,-17(7),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,1.0
BrCCCBr,-35.0,-35(1),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,1.0
BrCCCBr,-34.1,-34.1,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
BrCCCBr,-34.05,-34.05,2,2_EGNN_melt_point.csv,True,near_exact,median_all,1.0
BrCCCBr,-34.0,-34.0,4,test_predictions.csv,True,near_exact,median_all,1.0
BrCCCCBr,-21.1,-21.1(5),1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,2.8500000000000014
BrCCCCBr,-20.0,-20.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,2.8500000000000014
BrCCCCBr,-18.25,-18.25,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,2.8500000000000014
BrCCCCBr,-18.25,-18.25,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,2.8500000000000014
BrCCCCCBr,-40.0,-40.0(4),1,1_ChemXplore_ML_tmp_C.csv,True,review,median_all,6.0
BrCCCCCBr,-38.665,-38.665,2,2_EGNN_melt_point.csv,True,review,median_all,6.0
BrCCCCCBr,-34.0,-34.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,review,median_all,6.0
BrCCCCCBr,-34.0,-34.0,4,train_without_data_augmentation.csv,True,review,median_all,6.0
BrCCCCCCBr,-2.0,-2,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,1.85
BrCCCCCCBr,-2.0,-2.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,1.85
BrCCCCCCBr,-1.2,-1.2,1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,1.85
BrCCCCCCBr,-0.15,-0.15,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,1.85
BrCCCCCCCCBr,15.5,15.5,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.5
BrCCCCCCCCBr,15.5,15.5,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.5
BrCCCCCCCCBr,15.75,15.75,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.5
BrCCCCCCCCBr,16.0,16.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.5
BrCCCCCCCCCBr,-22.5,-22.5,1,1_ChemXplore_ML_tmp_C.csv,False,exact,dominant_cluster,147.5
BrCCCCCCCCCBr,125.0,125,2,2_EGNN_melt_point.csv,True,exact,dominant_cluster,147.5
BrCCCCCCCCCBr,125.0,125.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,exact,dominant_cluster,147.5
BrCCCCCCCCCCCBr,-11.0,-11.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.40000000000000036
BrCCCCCCCCCCCBr,-10.6,-10.6,4,test_predictions.csv,True,near_exact,median_all,0.40000000000000036
BrCCCCCCCCCCCCBr,40.0,40.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,1.0
BrCCCCCCCCCCCCBr,40.5,40.5,2,2_EGNN_melt_point.csv,True,near_exact,median_all,1.0
BrCCCCCCCCCCCCBr,40.5,40.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
BrCCCCCCCCCCCCBr,41.0,41,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,1.0
BrCCCCOc1ccccc1,41.0,41,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,1.0
BrCCCCOc1ccccc1,41.5,41.5,2,2_EGNN_melt_point.csv,True,near_exact,median_all,1.0
BrCCCCOc1ccccc1,41.5,41.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
BrCCCCOc1ccccc1,42.0,42.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,1.0
BrCCCOc1ccccc1,10.0,10.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.6999999999999993
BrCCCOc1ccccc1,10.35,10.35,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.6999999999999993
BrCCCOc1ccccc1,10.35,10.35,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.6999999999999993
BrCCCOc1ccccc1,10.7,10.7,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.6999999999999993
BrCCOc1ccccc1,33.0,33.0,4,train_without_data_augmentation.csv,True,review,median_all,6.0
BrCCOc1ccccc1,36.0,36,2,2_EGNN_melt_point.csv,True,review,median_all,6.0
BrCCOc1ccccc1,39.0,39,1,1_ChemXplore_ML_tmp_C.csv,True,review,median_all,6.0
BrCCOc1ccccc1,39.0,39.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,review,median_all,6.0
BrCCc1ccccc1,-56.0,-56.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.10000000000000142
BrCCc1ccccc1,-56.0,-56.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.10000000000000142
BrCCc1ccccc1,-55.9,-55.9(2),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.10000000000000142
BrCc1ccc(Br)cc1,62.0,62.0,4,test_predictions.csv,True,near_exact,median_all,1.0
BrCc1ccc(Br)cc1,62.5,62.5,2,2_EGNN_melt_point.csv,True,near_exact,median_all,1.0
BrCc1ccc(Br)cc1,62.5,62.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
BrCc1ccc(Br)cc1,63.0,63,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,1.0
BrCc1ccc(CBr)cc1,142.0,142.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,2.5
BrCc1ccc(CBr)cc1,143.2,143.2,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,2.5
BrCc1ccc(CBr)cc1,143.225,143.225,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,2.5
BrCc1ccc(CBr)cc1,144.5,144.5,1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,2.5
BrCc1ccc2ccccc2c1,53.0,53.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,3.0
BrCc1ccc2ccccc2c1,54.5,54.5,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,3.0
BrCc1ccc2ccccc2c1,54.5,54.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,3.0
BrCc1ccc2ccccc2c1,56.0,56,1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,3.0
BrCc1cccc(CBr)c1,75.0,75.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,2.0
BrCc1cccc(CBr)c1,76.0,76,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,2.0
BrCc1cccc(CBr)c1,76.0,76.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,2.0
BrCc1cccc(CBr)c1,77.0,77(1),1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,2.0
BrCc1cccc2ccccc12,50.0,50,2,2_EGNN_melt_point.csv,True,review,median_all,6.0
BrCc1cccc2ccccc12,50.0,50.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,review,median_all,6.0
BrCc1cccc2ccccc12,56.0,56(2),1,1_ChemXplore_ML_tmp_C.csv,True,review,median_all,6.0
BrCc1ccccc1,-4.0,-4.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,2.5
BrCc1ccccc1,-3.0,-3,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,2.5
BrCc1ccccc1,-3.0,-3.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,2.5
BrCc1ccccc1,-1.5,-1.5,1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,2.5
BrCc1ccccc1CBr,94.0,94.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,1.0
BrCc1ccccc1CBr,94.5,94.5,2,2_EGNN_melt_point.csv,True,near_exact,median_all,1.0
BrCc1ccccc1CBr,94.5,94.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
BrCc1ccccc1CBr,95.0,95(1),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,1.0
BrCc1nc2ccccc2s1,47.0,47.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
BrCc1nc2ccccc2s1,48.0,48,2,2_EGNN_melt_point.csv,True,near_exact,median_all,1.0
BrCc1nc2ccccc2s1,48.0,48.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,1.0
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,326.0,326.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,327.0,327,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,1.0
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,327.0,327.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,1.0
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,305.0,305,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,1.0
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,305.25,305.25,2,2_EGNN_melt_point.csv,True,near_exact,median_all,1.0
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,305.5,305.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,1.0
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,306.0,306.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,1.0
Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,72.0,72.0,4,train_without_data_augmentation.csv,False,unresolved,unresolved,88.0
Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,160.0,160,1,1_ChemXplore_ML_tmp_C.csv,False,unresolved,unresolved,88.0
Brc1cc(Br)c(Br)cc1Br,178.0,178.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,4.0
Brc1cc(Br)c(Br)cc1Br,180.0,180.0(9),1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,4.0
Brc1cc(Br)c(Br)cc1Br,180.0,180.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,4.0
Brc1cc(Br)c(Br)cc1Br,182.0,182,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,4.0
Brc1cc(Br)c(Br)s1,27.0,27.0,4,test_predictions.csv,True,high_confidence,median_all,2.0
Brc1cc(Br)c(Br)s1,28.0,28,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,2.0
Brc1cc(Br)c(Br)s1,28.0,28.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,2.0
Brc1cc(Br)c(Br)s1,29.0,29,1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,2.0
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,131.8,131.8,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,review,median_all,5.299999999999983
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,137.1,137.1,2,2_EGNN_melt_point.csv,True,review,median_all,5.299999999999983
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,161.5,161.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.6999999999999886
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,162.2,162.2,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.6999999999999886
Brc1cc(Br)c2c(c1)CN1CN2Cc2cc(Br)cc(Br)c21,225.18,225.18,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.01999999999998181
Brc1cc(Br)c2c(c1)CN1CN2Cc2cc(Br)cc(Br)c21,225.18,225.18,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.01999999999998181
Brc1cc(Br)c2c(c1)CN1CN2Cc2cc(Br)cc(Br)c21,225.2,225.2,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.01999999999998181
Brc1cc(Br)cc(Br)c1,121.8,121.8(2),1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,1.2000000000000028
Brc1cc(Br)cc(Br)c1,123.0,123.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,1.2000000000000028
Brc1cc(Br)cc(Br)c1,123.0,123.0,4,test_predictions.csv,True,high_confidence,median_all,1.2000000000000028
Brc1cc2ccccc2c2ccccc12,64.0,64.0,4,test_predictions.csv,True,near_exact,median_all,0.5
Brc1cc2ccccc2c2ccccc12,64.25,64.25,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.5
Brc1cc2ccccc2c2ccccc12,64.25,64.25,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.5
Brc1cc2ccccc2c2ccccc12,64.5,64.5,1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.5
Brc1ccc(-c2ccc(Br)cc2)cc1,164.0,164,1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,3.0
Brc1ccc(-c2ccc(Br)cc2)cc1,165.25,165.25,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,3.0
Brc1ccc(-c2ccc(Br)cc2)cc1,167.0,167.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,3.0
Brc1ccc(-c2ccc(Br)cc2)cc1,167.0,167.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,3.0
Brc1ccc(-c2ccccc2)cc1,87.0,87.0(2),1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,3.75
Brc1ccc(-c2ccccc2)cc1,90.0,90.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,3.75
Brc1ccc(-c2ccccc2)cc1,90.75,90.75,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,3.75
Brc1ccc(-c2ccccc2)cc1,90.75,90.75,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,3.75
Brc1ccc(-c2nnc(-c3cccc4ccccc34)o2)cc1,147.5,147.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.5
Brc1ccc(-c2nnc(-c3cccc4ccccc34)o2)cc1,148.0,148,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.5
Brc1ccc(-c2nnc(-c3cccc4ccccc34)o2)cc1,148.0,148.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.5
Brc1ccc(-c2nnc(-c3ccccc3)o2)cc1,169.5,169.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.5
Brc1ccc(-c2nnc(-c3ccccc3)o2)cc1,170.0,170,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.5
Brc1ccc(-c2nnc(-c3ccccc3)o2)cc1,170.0,170.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.5
Brc1ccc(Br)c(Br)c1,42.0,42.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,2.5
Brc1ccc(Br)c(Br)c1,43.25,43.25,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,2.5
Brc1ccc(Br)c(Br)c1,43.25,43.25,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,2.5
Brc1ccc(Br)c(Br)c1,44.5,44.5,1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,2.5
Brc1ccc(Br)c2ccccc12,81.0,81.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,2.0
Brc1ccc(Br)c2ccccc12,82.0,82,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,2.0
Brc1ccc(Br)c2ccccc12,82.0,82.0,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,2.0
Brc1ccc(Br)c2ccccc12,83.0,83,1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,2.0
Brc1ccc(Br)cc1,87.3,87.3(1),1,1_ChemXplore_ML_tmp_C.csv,True,near_exact,median_all,0.7000000000000028
Brc1ccc(Br)cc1,87.5,87.5,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.7000000000000028
Brc1ccc(Br)cc1,87.5,87.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.7000000000000028
Brc1ccc(Br)cc1,88.0,88.0,4,train_without_data_augmentation.csv,True,near_exact,median_all,0.7000000000000028
Brc1ccc(I)cc1,90.37,90.37(5),1,1_ChemXplore_ML_tmp_C.csv,True,high_confidence,median_all,1.1299999999999955
Brc1ccc(I)cc1,91.0,91.0,4,train_without_data_augmentation.csv,True,high_confidence,median_all,1.1299999999999955
Brc1ccc(I)cc1,91.5,91.5,2,2_EGNN_melt_point.csv,True,high_confidence,median_all,1.1299999999999955
Brc1ccc(I)cc1,91.5,91.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,high_confidence,median_all,1.1299999999999955
Brc1ccc(I)cn1,123.5,123.5,3,3_PATENTS_ochem_enamine_bradley_begstr_m_training_.parquet,True,near_exact,median_all,0.5
Brc1ccc(I)cn1,124.0,124,2,2_EGNN_melt_point.csv,True,near_exact,median_all,0.5
